order_id,customer_id,product_id,order_date,quantity,unit_price,total_amount,region,status
1,2721,91,2023-07-07,4,298,1192,Latin America,completed
2,638,87,2024-11-07,3,192,576,Europe,shipped
3,1106,183,2023-07-06,5,44,220,Europe,shipped
4,1768,163,2024-12-26,4,16,64,North America,completed
5,3931,60,2024-05-29,5,207,1035,Europe,shipped
6,3954,167,2024-09-25,2,31,62,North America,completed
7,891,134,2024-09-15,4,33,132,Asia Pacific,completed
8,4662,153,2024-07-09,1,277,277,Europe,returned
9,2374,173,2024-06-15,3,43,129,Asia Pacific,processing
10,4047,184,2024-05-10,4,40,160,Asia Pacific,completed
11,3653,61,2023-10-25,2,209,418,Asia Pacific,completed
12,1686,84,2024-01-23,1,268,268,Asia Pacific,returned
13,3825,80,2023-02-22,1,224,224,Asia Pacific,completed
14,638,132,2023-12-23,2,91,182,Europe,returned
15,2258,147,2023-12-13,1,260,260,North America,processing
16,1572,80,2024-10-14,3,224,672,Europe,processing
17,3022,133,2024-11-20,4,245,980,North America,completed
18,2852,104,2023-05-29,5,281,1405,Latin America,processing
19,3721,53,2024-04-17,1,107,107,North America,returned
20,2320,105,2024-07-09,3,90,270,Europe,completed
21,3547,75,2023-01-03,3,146,438,Europe,completed
22,1440,102,2023-06-24,1,187,187,Latin America,shipped
23,375,78,2024-02-05,4,123,492,North America,completed
24,744,149,2023-10-12,1,156,156,North America,shipped
25,506,116,2024-09-07,1,209,209,North America,completed
26,4114,73,2023-10-18,2,195,390,Latin America,completed
27,1572,176,2023-11-17,4,9,36,North America,completed
28,4922,133,2023-04-04,2,245,490,Asia Pacific,returned
29,3598,127,2024-10-07,2,147,294,Asia Pacific,returned
30,3968,153,2023-10-08,4,277,1108,Latin America,completed
31,4041,78,2024-12-03,2,123,246,Latin America,shipped
32,4477,151,2024-01-13,5,163,815,Asia Pacific,shipped
33,3475,13,2024-08-05,2,1163,2326,Europe,completed
34,4125,158,2023-07-12,5,293,1465,Europe,completed
35,4850,174,2024-05-21,3,17,51,Latin America,completed
36,4355,40,2024-02-28,1,1875,1875,Latin America,shipped
37,4923,151,2024-08-25,5,163,815,North America,completed
38,1673,83,2023-05-13,1,290,290,Latin America,completed
39,562,175,2024-08-03,5,24,120,North America,completed
40,3674,68,2023-02-03,2,155,310,North America,completed
41,94,174,2023-04-08,5,17,85,Europe,completed
42,2110,20,2023-09-07,3,1418,4254,Latin America,processing
43,3562,23,2023-06-03,3,397,1191,Europe,returned
44,2131,11,2024-06-06,4,505,2020,Latin America,completed
